Ligand_SMILES,Decoy_SMILES,Actividad,psmis
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc(c2c(c1C[NH3+])cc[nH]2)Br,0,[R][N+]([R])([R])[Cal]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc(c2c(c1C[NH3+])cc[nH]2)Br,0,[Nar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc(cc(c1)Br)c2c(c[nH]n2)C[NH3+],0,[R][N+]([R])([R])[Cal]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc(cc(c1)Br)c2c(c[nH]n2)C[NH3+],0,[R]Br
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc(cc(c1)Br)c2c(c[nH]n2)C[NH3+],0,[Nar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc(cc(c1)Br)c2c(c[nH]n2)C[NH3+],0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cnccc1Cn2c3ccncc3nc2N,0,N[Car]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cnccc1Cn2c3ccncc3nc2N,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cnccc1Cn2c3ccncc3nc2N,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cnccc1Cn2c3ccncc3nc2N,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cnccc1Cn2c3ccncc3nc2N,0,[Nar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1ccc(c(c1)c2c(c([nH][nH+]2)N)C)Br,0,N[Car]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1ccc(c(c1)c2c(c([nH][nH+]2)N)C)Br,0,[R]Br
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1ccc(c(c1)c2c(c([nH][nH+]2)N)C)Br,0,[Nar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1ccc(c(c1)c2c(c([nH][nH+]2)N)C)Br,0,[Nar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(cc2c1[nH+]ccc2NN)Br,0,[R]N([R])N([R])[R]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(cc2c1[nH+]ccc2NN)Br,0,[R]Br
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(cc2c1[nH+]ccc2NN)Br,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,CN(C)S(=O)(=O)c1cc(c(nc1)N)Cl,0,O=S(=O)([R])N([R])[R]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,CN(C)S(=O)(=O)c1cc(c(nc1)N)Cl,0,N[Car]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,CN(C)S(=O)(=O)c1cc(c(nc1)N)Cl,0,Cl[R]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,CN(C)S(=O)(=O)c1cc(c(nc1)N)Cl,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(nc1)sc(n2)Cn3cc(cn3)N,0,N[Car]
