Ligand_SMILES,Ligand_ID,Decoy_SMILES,Tanimoto_Similarity,Actividad
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,c1ccc2=[NH+]C([NH+]=c2c1)CCNC(=O)/C(=C/c3cccc(c3)[N+](=O)[O-])/NC(=O)c4ccco4,0.09322033898305085,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,C[C@H]1[C@@H](ON=C1C)NS(=O)(=O)c2ccc(cc2)NC(=O)CS[C@@H]3[NH+]=c4ccc(cc4=[NH+]3)OC,0.10084033613445378,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,c1ccc(cc1)C2=[NH+]C(c3c(=O)[nH]c(=O)n(c3N2)Cc4ccc[nH+]c4)(C(F)(F)F)C(F)(F)F,0.10185185185185185,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,c1cc2c(cc1C3=[NH+]C4=C[C@@H](NN4C(=C3)C(F)(F)F)C(=O)NC[C@H]5C=c6cc(ccc6=[NH+]5)Cl)OCO2,0.10236220472440945,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,c1cc2c(cc1C3=[NH+]C4=C[C@H](NN4C(=C3)C(F)(F)F)C(=O)NC[C@H]5C=c6cc(ccc6=[NH+]5)Cl)OCO2,0.10236220472440945,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,CCOc1ccccc1C[NH+]2CCNC(=O)[C@@H]2CC(=O)N(C)C3CC([NH2+]C(C3)(C)C)(C)C,0.10434782608695652,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,CCOc1ccccc1C[NH+]2CCNC(=O)[C@H]2CC(=O)N(C)C3CC([NH2+]C(C3)(C)C)(C)C,0.10434782608695652,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,Cc1[nH+]ccn1c2ccc(cc2)NC(=O)C3=CNN4C3=[NH+][C@@H](C[C@@H]4C(F)(F)F)c5cccs5,0.10569105691056911,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,c1ccc2=[NH+]CC(=c2c1)CCNC(=O)[C@H]3C=C4[NH+]=C(C=C(N4N3)C(F)(F)Cl)c5ccco5,0.10569105691056911,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,c1ccc(cc1)NC(=O)Cn2cc(c3c2cccc3)/C=N/NC4=N[C@H]5C(=c6ccccc6=[NH+]5)N=[NH+]4,0.1092436974789916,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,CC1=C([C@H](n2c(nc(n2)c3ccc(cc3)OC)N1)c4cccc[nH+]4)C(=O)Nc5ccc[nH+]c5,0.1111111111111111,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,COc1ccccc1/C=C/C[NH+]2CCNC(=O)[C@H]2CC(=O)NC[C@@H]3C=c4cc(ccc4=[NH+]3)F,0.112,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,CCOC(=O)C1=C(OC(=C([C@H]1c2ccc[nH+]c2)C#N)N)CSc3c(cc4c([nH+]3)CCCCC4)C#N,0.11382113821138211,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,CCOC(=O)C1=C2CC([NH2+]C([C@@H]2S[C@@H]1NC(=O)COC(=O)CC3=c4ccccc4=[NH+]C3)(C)C)(C)C,0.11864406779661017,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,Cc1ccc(cc1F)CNC(=O)c2ccc(cc2)NS(=O)(=O)c3ccc4=[NH+]C(=O)[NH+]=c4c3,0.11926605504587157,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,[H]/[O+]=c/1\c(c(c1=O)[NH+]2CCC(CC2)N3CCc4ccccc4[C@H]3CC(=O)NCc5ccco5)NC6CC6,0.12,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,CC1=C([C@H](n2c(nc(n2)c3ccc(c(c3)OC)OC)N1)c4ccc[nH+]c4)C(=O)Nc5ccc[nH+]c5,0.12173913043478261,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,CC(=O)Nc1ccc(cc1)S(=O)(=O)/N=C\2/[C@@H]([NH+]=c3ccccc3=[NH+]2)Nc4ccc(cc4)C(=O)O,0.12380952380952381,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,CN(C)Cc1cc(ccc1OCC(=O)NCC2[NH+]=c3ccccc3=[NH+]2)[C@H]4Nc5ccccc5S4,0.12389380530973451,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,COc1cc(cc(c1OC)OC)[C@@H]2c3c(n[nH]c3OC(=C2C#N)[NH3+])c4ccc(cc4)Br,0.0625,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,c1ccc2=[NH+]C(=O)C(=c2c1)NNC(=O)C3=CC4=N[C@@H](C[C@@H](N4N3)C(F)(F)F)c5ccc(cc5)F,0.075,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,C[C@H]1CCCC[C@@H]1[NH2+]CC(=O)Nc2ccc(cc2C(=O)Nc3ccc4c(c3)OCCO4)[N+](=O)[O-],0.07563025210084033,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,CC[C@@H]1C(=C(NC(=O)N1)C[NH+](C)CC(=O)Nc2ccccc2Br)C(=O)OCC,0.08108108108108109,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,COc1ccc(cc1)c2c3c([nH]n2)OC(=C([C@H]3c4ccc(c(c4)Cn5c6ccccc6nn5)OC)C#N)[NH3+],0.0873015873015873,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,COc1ccc(cc1)c2c3c([nH]n2)OC(=C([C@@H]3c4ccc(c(c4)Cn5c6ccccc6nn5)OC)C#N)[NH3+],0.0873015873015873,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,c1cc(ccc1C2=C[C@@H](N=N2)[C@H]3N=N[C@@H](N3[NH3+])SCC(=O)Nc4ccc(cc4)Br)Cl,0.09009009009009009,0
